Sehir,Zaman_Damgasi,Sicaklik_C,Nem_Yuzde,Ruzgar_kmh,Basinc_hPa,Hissedilen_C,Yagis_Var_Mi
Adana,2024-01-05 20:00:00,17.5,24.5,14.48406,1014.562444,-3.0555555555555554,0.0
Adana,2024-01-05 21:00:00,15.0,34.5,8.85137,1015.578361,-0.5555555555555556,0.0
Adana,2024-01-05 22:00:00,13.88888888888889,41.0,9.65604,1016.594278,1.1111111111111112,0.0
Adana,2024-01-05 23:00:00,12.222222222222221,54.0,5.63269,1016.594278,2.7777777777777777,0.0
Adana,2024-01-06 00:00:00,10.555555555555555,56.0,9.65604,1017.6101950000001,2.2222222222222223,0.0
Adana,2024-01-06 01:00:00,11.666666666666666,47.0,10.46071,1017.6101950000001,0.5555555555555556,0.0
Adana,2024-01-06 02:00:00,9.444444444444445,61.5,3.21868,1018.6261119999999,1.9444444444444444,0.0
Adana,2024-01-06 03:00:00,7.5,76.0,3.21868,1018.6261119999999,3.333333333333333,0.0
Adana,2024-01-06 04:00:00,8.333333333333334,71.0,2.41401,1018.6261119999999,3.333333333333333,0.0
Adana,2024-01-06 05:00:00,6.666666666666666,78.5,0.80467,1019.1340705,2.7777777777777777,0.0
Adana,2024-01-06 06:00:00,6.666666666666666,78.5,0.80467,1019.642029,2.7777777777777777,0.0
Adana,2024-01-06 07:00:00,7.5,68.5,8.0467,1020.1499875,2.2222222222222223,0.0
Adana,2024-01-06 08:00:00,10.0,58.0,4.82802,1020.657946,2.2222222222222223,0.0
Adana,2024-01-06 09:00:00,13.333333333333334,44.0,8.85137,1021.6738630000001,1.6666666666666667,0.0
Adana,2024-01-06 10:00:00,16.11111111111111,35.0,12.07005,1021.6738630000001,0.5555555555555556,0.0
Adana,2024-01-06 11:00:00,17.5,35.5,12.87472,1021.6738630000001,2.2222222222222223,0.0
Adana,2024-01-06 12:00:00,18.88888888888889,36.0,8.0467,1020.657946,3.333333333333333,0.0
Adana,2024-01-06 13:00:00,20.0,31.5,3.21868,1020.657946,2.5,0.0
Adana,2024-01-06 14:00:00,20.555555555555557,30.5,6.43736,1019.642029,2.5,0.0
Adana,2024-01-06 15:00:00,21.11111111111111,29.5,4.82802,1019.642029,2.5,0.0
Adana,2024-01-06 16:00:00,20.0,30.0,8.0467,1019.642029,2.2222222222222223,0.0
Adana,2024-01-06 17:00:00,17.40740740740741,39.333333333333336,5.900913333333333,1019.642029,3.1481481481481484,0.0
Adana,2024-01-06 18:00:00,14.444444444444445,48.0,0.0,1020.1499875,3.333333333333333,0.0
Adana,2024-01-06 19:00:00,13.333333333333334,54.5,1.60934,1020.657946,4.444444444444445,0.0
